section,left,p1,,,,,
פרטים,הסכם שכירות בלתי מוגנת,title,,,,,
פרטים,שנערך ונחתם ב-{עיר-חתימת-ההסכם} בתאריך {תאריך-החתימה-על-ההסכם},,,,,,
פרטים,"
בין {שם-המשכיר} {סוג-זיהוי} {מספר-זיהוי}
",,,,,,
פרטים,מ-{כתובת-מלאה-משכיר},,,,,,
פרטים,"(להלן: ""המשכיר"")",,,,,,
פרטים,מצד אחד,,,,,,
פרטים,"
בין {שם-השוכר} {סוג-זיהוי-השוכר} {מספר-זיהוי-השוכר}
",,,,,,
פרטים,מ-{כתובת-מלאה-השוכר},,,,,,
פרטים,"(להלן: ""השוכר"")",,,,,,
פרטים,מצד שני,,,,,,
פרטיהמושכר,"הואיל:        והמשכיר הוא בעל הזכויות והמחזיק הבלעדי של דירה בת {מספר-החדרים-בדירה} חדרים, מטבח וחדרי שירות בקומה {מספר-קומה} הנמצאת ברח' {כתובת-המושכר} וכן מיטלטלין כאמור ברשימה המצ""ב כנספח א' (להלן: ""המושכר""); ",,,,,,
פרטיהמושכר,"והואיל:        ולשוכר ידוע כי ביום תחילתו של חוק הגנת הדייר (נוסח משולב), התשל""ב-1972 ו/או ביום {תאריך-החתימה-על-ההסכם} ולאחר מכן היה המושכר פנוי ולא היה דייר שהיה זכאי להחזיק בו, וכי לא יחולו ביחס למושכר הוראות חוק הגנת הדייר ו/או כל הוראות הבאות להגביל את השכירות;",,,,,,
פרטיהמושכר,"והואיל: והמשכיר מעוניין להשכיר לשוכר את המושכר בשכירות בלתי מוגנת, והשוכר מעוניין לשכור מהמשכיר את המושכר בשכירות בלתי מוגנת, והכל בכפוף לתנאי הסכם זה;",,,,,,
פרטיהמושכר,ולפיכך הוסכם והותנה בין הצדדים כדלקמן:,,,,,,
מבוא,המבוא להסכם זה מהווה חלק בלתי נפרד הימנו. אין לפרש הוראה מהוראותיו בניגוד למשמעות הטבעית והרגילה של מילות הסכם זה. ,,,,,,
